Name,Age,BloodGroup,loc_ngo,loc_hosp,phnum,ID
Rudolph Fishman,88,B+,ngo0090,,(502)878-1140,rc0408
Martina Stowe,13,A-,,hosp0144,(475)253-1181,rc0409
Wendy Mosier,26,B-,,hosp0012,(941)116-4540,rc0410
Katherine Laflamme,93,AB-,ngo0104,,(557)521-3509,rc0411
Consuelo Akers,93,O-,ngo0063,,(651)913-6904,rc0412
Kerrie Rowe,21,AB+,ngo0109,,(504)582-2504,rc0413
Cole Vargas,33,A+,ngo0101,,(507)586-4656,rc0414
Todd Tipton,85,AB+,ngo0061,,(585)490-3643,rc0415
Catrina Gilliam,5,O-,ngo0019,,(872)653-7881,rc0416
Riley Chamberlin,86,A+,,hosp0099,(240)597-2007,rc0417
Salvatore Macpherson,46,A+,,hosp0118,(978)502-4931,rc0418
Marcus Chong,58,AB+,ngo0040,,(440)738-8153,rc0419
Dorene Bolt,82,AB+,,hosp0039,(516)303-6918,rc0420
Judi Phifer,76,AB+,ngo0019,,(734)702-8155,rc0421
Stanford Kaye,60,AB-,ngo0134,,(585)910-2498,rc0422
Damian Orton,93,B+,ngo0037,,(551)173-8464,rc0423
Kathi Hardison,57,AB+,,hosp0056,(571)972-6939,rc0424
Dave Calloway,9,A+,,hosp0010,(409)782-8540,rc0425
Evan Fain,36,AB+,ngo0075,,(802)477-2731,rc0426
Graciela Murry,99,A+,ngo0006,,(336)139-9200,rc0427
Anastasia Luckett,33,A+,ngo0085,,(740)283-1668,rc0428
Abdul Barreto,47,AB-,,hosp0154,(947)692-6635,rc0429
Nicky Albright,92,AB+,ngo0133,,(215)459-7994,rc0430
Miquel Fish,25,O+,ngo0021,,(571)349-3843,rc0431
Gale Cuellar,82,AB-,,hosp0089,(830)742-3136,rc0432
Micah Laster,61,O+,,hosp0033,(857)834-3383,rc0433
Sabrina Oakes,86,B-,ngo0116,,(319)151-6809,rc0434
Glenna Easley,72,O+,ngo0030,,(224)639-3843,rc0435
Ali Linton,87,B-,ngo0042,,(559)195-8749,rc0436
Marty Vieira,34,O-,,hosp0078,(878)884-7315,rc0437
Willard Fitzgerald,34,A+,,hosp0153,(907)251-6878,rc0438
Sterling Summerlin,43,O+,,hosp0061,(814)557-2987,rc0439
Kyla Rust,8,A-,ngo0082,,(415)540-8610,rc0440
Alison Shrader,53,AB+,,hosp0123,(785)897-8837,rc0441
Debra Seward,28,B+,ngo0092,,(405)724-3105,rc0442
Tyra Connor,12,B-,ngo0077,,(812)647-5572,rc0443
Noah Jordon,64,O-,,hosp0178,(630)133-3988,rc0444
Ray Masterson,77,B-,,hosp0038,(878)950-1758,rc0445
Keith Mendoza,82,A+,ngo0031,,(218)136-9293,rc0446
Erin Wynn,16,A-,,hosp0135,(208)801-9135,rc0447
Warren Dixon,88,A-,,hosp0128,(475)821-4051,rc0448
Pat Herrmann,19,B-,ngo0081,,(952)347-4685,rc0449
Nona Levin,77,A-,,hosp0104,(630)363-8125,rc0450
Edwina Irby,81,A-,,hosp0072,(262)258-9808,rc0451
Lulu Wild,95,O+,,hosp0022,(918)819-6021,rc0452
Luigi Arthur,21,A-,ngo0083,,(878)579-6403,rc0453
Willard Massie,61,O-,ngo0096,,(775)259-9186,rc0454
Renata Ramirez,26,B+,,hosp0147,(320)777-3732,rc0455
Alice Rickman,60,A+,,hosp0120,(304)899-6433,rc0456
Eduardo Wilbur,21,B+,ngo0039,,(970)815-2967,rc0457
Efrain Elkins,76,B+,,hosp0113,(469)853-9750,rc0458
Alicia Mattison,31,A+,,hosp0069,(302)334-5062,rc0459
Roland Kinney,38,O-,,hosp0041,(660)243-5320,rc0460
Art Tremblay,13,AB+,,hosp0189,(267)478-5379,rc0461
Maya Vitale,95,B+,,hosp0135,(580)600-2835,rc0462
Eddie Richie,90,AB+,,hosp0199,(954)228-3169,rc0463
Ted Hitchcock,89,A+,,hosp0013,(620)924-1626,rc0464
Kelvin Whiteside,8,AB+,,hosp0062,(283)771-3244,rc0465
Tracie Haskins,61,O-,,hosp0184,(240)887-4907,rc0466
Barbra Chestnut,90,A+,ngo0049,,(508)360-2691,rc0467
Leonel Falcon,55,A-,,hosp0207,(720)906-4544,rc0468
Georgianna Tobin,93,B+,ngo0014,,(304)398-3434,rc0469
Ernesto Hutchinson,34,B+,ngo0016,,(615)237-8936,rc0470
Johnathon Olsen,80,AB-,,hosp0033,(803)954-4231,rc0471
Jerri Derosa,13,AB-,,hosp0177,(765)718-3426,rc0472
Kylie Moody,99,O-,ngo0131,,(931)174-3899,rc0473
Randell Madison,2,A+,,hosp0167,(567)718-6377,rc0474
Marty Galindo,49,O-,,hosp0017,(585)931-5588,rc0475
Bernadine Counts,93,A-,,hosp0189,(864)894-2157,rc0476
Carmel Wagner,8,A+,ngo0010,,(508)534-4244,rc0477
Kia Sherrill,16,AB+,ngo0097,,(772)722-5301,rc0478
Adelaide Marr,22,AB-,ngo0096,,(227)657-9499,rc0479
Billie Patrick,56,A+,ngo0002,,(304)229-7542,rc0480
Phillis Gayle,73,AB+,,hosp0203,(952)573-3462,rc0481
Zachery Champagne,3,A-,ngo0108,,(641)424-8448,rc0482
Chloe Hadden,88,AB-,ngo0004,,(702)536-9422,rc0483
Kenny Carranza,93,AB+,,hosp0163,(225)778-7989,rc0484
Veronica Hillard,79,AB+,,hosp0188,(603)842-9343,rc0485
Frederic Welch,48,O-,,hosp0049,(251)992-3599,rc0486
Freda Alcala,42,O+,ngo0023,,(417)189-3209,rc0487
Shaun Monson,73,B+,,hosp0019,(631)528-1135,rc0488
Monica Sumpter,31,O-,ngo0108,,(405)335-4058,rc0489
Frederic Jacobson,83,AB-,ngo0009,,(859)603-7244,rc0490
Archie Wolff,45,AB+,,hosp0073,(954)610-6531,rc0491
Manuel Gamez,49,O-,ngo0126,,(270)530-8762,rc0492
Patrica Rush,20,B+,,hosp0142,(918)419-9916,rc0493
Elizabeth Varela,9,AB-,ngo0085,,(530)221-9024,rc0494
Marcus Wills,99,AB-,ngo0061,,(870)139-4337,rc0495
Thurman Ordonez,49,AB+,ngo0122,,(845)776-8107,rc0496
Cynthia Chilton,39,O-,,hosp0053,(228)864-8750,rc0497
Lynnette Cohn,17,AB+,,hosp0053,(646)220-3744,rc0498
Noemi Cockrell,49,O-,ngo0134,,(802)447-1288,rc0499
Danielle Bolton,49,A+,,hosp0007,(907)875-6882,rc0500
Carter Beckham,84,A+,,hosp0208,(608)749-4534,rc0501
Estela Tinker,76,B-,,hosp0155,(516)869-7657,rc0502
Joan Pinkston,51,A+,ngo0028,,(989)842-7413,rc0503
Pierre Frizzell,17,B+,,hosp0089,(612)279-2560,rc0504
Treva Catron,56,B-,ngo0094,,(501)439-7395,rc0505
Lena Wells,27,A-,,hosp0190,(423)757-3274,rc0506
Joshua Schulz,37,AB-,ngo0128,,(479)642-3277,rc0507
Marilyn Murray,49,B-,ngo0133,,(984)425-8394,rc0508
Jean Newsome,31,AB+,,hosp0182,(551)395-6348,rc0509
David Rouse,67,O-,,hosp0148,(228)359-6869,rc0510
Jay Davison,56,AB+,ngo0102,,(484)648-1663,rc0511
Adrian Boling,2,A+,ngo0049,,(207)269-1397,rc0512
Roxann Montano,20,A+,ngo0063,,(505)547-8281,rc0513
Pedro Chew,91,AB-,,hosp0198,(317)203-6531,rc0514
Lois Sparkman,92,AB-,ngo0126,,(959)287-7118,rc0515
Mina Robson,21,B+,,hosp0038,(276)507-1999,rc0516
Ilene Teel,13,B-,ngo0095,,(901)493-4808,rc0517
Krystle Mcclary,57,B+,ngo0003,,(502)232-9986,rc0518
Mollie Cameron,52,A-,ngo0006,,(386)131-3552,rc0519
Nannie Homan,62,AB-,,hosp0078,(304)999-6500,rc0520
Harriett Bedard,60,B+,,hosp0161,(907)139-1537,rc0521
Alba Lemons,49,A+,ngo0085,,(835)792-7163,rc0522
Danita Mcallister,39,A+,,hosp0067,(256)161-9385,rc0523
Angel Eason,25,B-,,hosp0054,(423)218-5210,rc0524
Fern Dell,58,A-,,hosp0157,(317)155-5402,rc0525
Wally Clinton,9,B-,ngo0081,,(573)606-4822,rc0526
Lou Henley,48,B-,ngo0009,,(253)304-4956,rc0527
Elia Dent,33,B-,,hosp0108,(334)436-1900,rc0528
Rene Jarrett,96,A-,ngo0100,,(406)629-4409,rc0529
Emil Johns,4,AB+,ngo0075,,(959)423-4340,rc0530
Valorie Rodgers,46,A+,ngo0104,,(304)647-1718,rc0531
Jasmine Crosby,52,AB+,,hosp0010,(239)207-1275,rc0532
Edna Dillon,60,A+,,hosp0100,(312)557-4030,rc0533
Fausto Fries,38,A+,ngo0059,,(928)834-1117,rc0534
Ada Metcalf,35,B+,ngo0067,,(229)517-4650,rc0535
Robin Howland,6,B-,ngo0044,,(505)402-4837,rc0536
Rosendo Mcmillan,54,AB+,ngo0004,,(228)858-9615,rc0537
Tommy Cunningham,56,B+,ngo0004,,(502)959-3425,rc0538
Kerry Murray,96,B-,,hosp0029,(856)328-1332,rc0539
Wilfred Robson,94,AB+,,hosp0131,(503)279-9754,rc0540
Clement Ellington,62,O+,,hosp0088,(631)627-3594,rc0541
Trent Quinn,48,B-,,hosp0069,(207)549-2902,rc0542
Francis Mcmullen,16,A+,ngo0001,,(701)672-7989,rc0543
Timmy Shelby,77,AB+,,hosp0070,(830)538-3842,rc0544
Reginald Hagen,30,O+,,hosp0006,(505)229-3334,rc0545
Soledad Burge,99,AB+,ngo0100,,(717)786-1506,rc0546
Twila Hershberger,34,O+,ngo0129,,(228)378-5886,rc0547
Aron Vera,22,AB-,,hosp0151,(908)656-1889,rc0548
Oma Coon,50,A-,,hosp0180,(925)705-8277,rc0549
Salvador Garza,81,O-,,hosp0114,(262)225-3328,rc0550
Dante Phan,24,O-,,hosp0152,(631)523-6655,rc0551
Gary Bolt,10,O-,ngo0083,,(504)131-2673,rc0552
Cleo Valerio,63,O+,ngo0037,,(217)635-1857,rc0553
Jeremiah Luckett,23,O-,ngo0133,,(978)259-3494,rc0554
Renita Marroquin,46,A-,,hosp0143,(440)754-6002,rc0555
Nedra Caudle,76,A-,ngo0065,,(815)634-5673,rc0556
Stanford Slagle,70,A-,,hosp0093,(702)854-4311,rc0557
Jason Wellman,1,A+,,hosp0180,(212)792-2735,rc0558
Joshua Mcdonnell,10,B+,,hosp0042,(949)602-7368,rc0559
Bruce Breedlove,5,AB+,ngo0125,,(314)976-8794,rc0560
Jeniffer Theriault,49,O+,,hosp0035,(443)741-8632,rc0561
Richard Orellana,50,O-,ngo0074,,(971)981-7511,rc0562
Glenda Schwartz,29,AB+,ngo0080,,(734)117-4967,rc0563
Damian Killian,30,B-,,hosp0056,(316)980-4901,rc0564
Cruz Burden,71,AB+,,hosp0083,(979)647-9906,rc0565
Clare Elston,76,AB+,,hosp0137,(815)172-1521,rc0566
Zackary Link,55,O-,,hosp0190,(530)871-1360,rc0567
Lamont Connolly,69,AB+,,hosp0144,(419)937-1172,rc0568
Elizabeth Norwood,38,B-,,hosp0187,(217)288-4554,rc0569
Amber Roper,40,B+,ngo0068,,(848)385-7192,rc0570
Hubert Ulmer,84,AB-,ngo0117,,(475)623-8168,rc0571
Noemi Wyatt,44,O-,,hosp0134,(251)592-3109,rc0572
Erma Buckley,18,AB+,ngo0054,,(815)807-1410,rc0573
Eugene Marquez,47,AB+,,hosp0120,(201)659-9396,rc0574
Lowell Tyler,43,A-,,hosp0035,(409)522-4697,rc0575
Damion Yang,5,O-,,hosp0014,(608)506-4513,rc0576
Jason Sherrill,1,A+,ngo0070,,(760)151-9471,rc0577
Lucy Calloway,49,AB-,ngo0121,,(520)286-7792,rc0578
Carroll Waller,34,B-,ngo0072,,(606)827-5389,rc0579
Mae Hankins,88,B-,,hosp0121,(571)625-4662,rc0580
Toni Field,44,B+,,hosp0010,(936)736-5105,rc0581
Houston Francisco,59,A+,ngo0114,,(270)366-4892,rc0582
Trisha Brazil,82,O+,,hosp0086,(623)345-2586,rc0583
Sheri Bittner,59,A-,,hosp0088,(318)779-7641,rc0584
Zackary Thurston,92,O+,,hosp0032,(727)987-7689,rc0585
Zane Jankowski,77,B-,ngo0028,,(959)511-7961,rc0586
Verna Hughes,16,AB+,,hosp0100,(843)183-3932,rc0587
Helen Willoughby,19,AB+,,hosp0089,(919)416-7594,rc0588
Alisha Dean,14,A-,,hosp0066,(918)903-2611,rc0589
Arturo Mondragon,66,B+,,hosp0114,(573)876-6040,rc0590
Margo Buck,94,AB+,ngo0018,,(415)474-1553,rc0591
Les Kessler,6,AB-,ngo0106,,(202)981-7448,rc0592
Freda Horsley,90,AB+,ngo0128,,(830)541-3785,rc0593
Vickey Freed,84,O-,ngo0124,,(970)142-1289,rc0594
Donovan Bettencourt,70,A+,ngo0085,,(502)502-7428,rc0595
Winford Addison,32,AB-,ngo0050,,(217)771-8763,rc0596
Dan Russ,60,AB-,ngo0096,,(480)628-8359,rc0597
Sam Haase,26,A+,,hosp0183,(612)168-9541,rc0598
Valorie Cates,66,B+,,hosp0116,(734)234-1584,rc0599
Danna Sessions,98,B+,,hosp0112,(270)370-7166,rc0600
Kathrine Esquivel,7,B-,ngo0133,,(360)534-3409,rc0601
Kathryn Wenger,9,B+,ngo0060,,(283)744-3289,rc0602
Sandy Epps,19,O-,ngo0053,,(239)214-4837,rc0603
Cordelia Braxton,68,A-,ngo0070,,(835)211-1880,rc0604
Lauren Headrick,24,AB-,,hosp0209,(980)812-6673,rc0605
Cathie Dyer,16,A-,,hosp0139,(719)541-9149,rc0606
Earline Coronado,23,A-,ngo0080,,(810)578-5241,rc0607
Victoria Munson,23,A-,,hosp0147,(210)206-6988,rc0608
Georgia Spann,20,B-,,hosp0211,(503)525-7781,rc0609
Polly James,41,A+,ngo0061,,(405)641-5391,rc0610
Rico Horsley,88,AB-,ngo0070,,(304)224-9210,rc0611
Suzan Grigsby,72,O+,,hosp0209,(580)456-9867,rc0612
Clemente Allman,79,O-,ngo0006,,(205)498-5546,rc0613
Dessie Hurt,12,A-,ngo0015,,(214)370-3681,rc0614
Rory Moser,14,AB-,ngo0120,,(470)898-9380,rc0615
Lonnie Rowland,52,O+,,hosp0200,(814)267-5203,rc0616
Libby Miranda,35,O+,,hosp0045,(269)478-8914,rc0617
Randell Nelms,80,A-,,hosp0022,(227)250-4889,rc0618
Freddie Lavoie,96,A-,ngo0039,,(716)129-2562,rc0619
Lauren Darling,15,O+,,hosp0070,(262)862-7467,rc0620
Leora Trudeau,43,AB+,,hosp0181,(619)491-9538,rc0621
Erik Massey,0,A-,ngo0072,,(260)481-3607,rc0622
Boris Kern,64,A+,ngo0066,,(810)194-2301,rc0623
Belen Provost,35,O-,,hosp0138,(406)738-9028,rc0624
Luke Felder,75,B+,,hosp0135,(843)662-5531,rc0625
Tracy Nation,90,O+,,hosp0134,(712)512-8479,rc0626
Troy Layne,29,AB-,ngo0084,,(205)629-7443,rc0627
Jospeh Dunn,22,B+,ngo0068,,(914)576-7458,rc0628
Sammy Durr,11,A+,,hosp0057,(530)271-3297,rc0629
Kerri Allen,35,A+,,hosp0158,(331)674-8568,rc0630
Aurelio Heim,12,O-,,hosp0076,(256)152-9994,rc0631
Caridad Sweeney,1,O-,,hosp0106,(701)803-9663,rc0632
Marvin Carrera,12,A-,ngo0004,,(414)397-6535,rc0633
Hayden Allred,6,O+,ngo0117,,(915)219-2251,rc0634
Werner Sadler,84,A-,,hosp0022,(304)192-3147,rc0635
Luanne Gallagher,77,B+,ngo0087,,(207)909-1907,rc0636
Cedrick Rinehart,45,A-,ngo0092,,(765)945-5012,rc0637
Sam Tang,36,AB-,,hosp0087,(337)234-8280,rc0638
Ginger Mora,70,AB-,ngo0084,,(918)824-1390,rc0639
Jason Rhodes,33,B-,,hosp0054,(413)619-2571,rc0640
Karol Dunaway,35,B-,,hosp0154,(612)194-9474,rc0641
Phil Bey,48,O-,ngo0053,,(606)649-8070,rc0642
Juli Addison,81,A-,ngo0127,,(408)518-3862,rc0643
Felix Mcmillian,52,A+,,hosp0045,(303)672-2878,rc0644
Nathanael Bostick,94,B-,ngo0043,,(440)376-4119,rc0645
Stuart Burdick,30,O-,,hosp0054,(540)837-8936,rc0646
Katina Sinclair,55,O-,,hosp0051,(803)946-2892,rc0647
Bryan Menendez,27,AB-,ngo0041,,(760)579-4801,rc0648
Tyrone Ramos,93,O-,,hosp0176,(920)697-4232,rc0649
Benedict Dejesus,63,B+,,hosp0072,(975)646-6637,rc0650
Rodrigo Oaks,42,B-,ngo0079,,(763)914-4704,rc0651
Terrell Pace,16,B-,ngo0039,,(608)313-6220,rc0652
Boyce Brower,82,B+,ngo0008,,(925)877-5572,rc0653
Gertrude Oden,32,B+,ngo0076,,(702)975-7524,rc0654
Chauncey Benefield,42,A-,,hosp0203,(505)646-9554,rc0655
Herman Moen,3,B+,ngo0091,,(937)118-2400,rc0656
Rufus Tinker,42,AB+,,hosp0118,(919)389-2483,rc0657
Isaias Smyth,1,B-,,hosp0189,(414)842-7468,rc0658
Julianne Venable,26,AB+,,hosp0032,(601)796-9460,rc0659
Julio Bradford,71,A-,ngo0129,,(757)132-5585,rc0660
Audrey Wilson,72,O+,ngo0037,,(907)285-6014,rc0661
Lisette Ammons,8,B-,ngo0069,,(304)514-1332,rc0662
Stacy Delvalle,91,O+,ngo0017,,(715)436-6229,rc0663
Joan Toro,85,O+,,hosp0113,(682)686-4482,rc0664
Lucien Steadman,16,O-,,hosp0113,(959)628-9649,rc0665
Benton Bowles,19,A-,,hosp0196,(202)313-6498,rc0666
Zenaida Beard,36,B-,ngo0099,,(464)608-5636,rc0667
Angelina Massie,50,AB+,ngo0041,,(609)595-6106,rc0668
Jerrod Robledo,71,A+,,hosp0061,(304)964-2277,rc0669
Maura Moreno,64,B+,,hosp0079,(606)773-4348,rc0670
Nichole Hite,21,O-,,hosp0110,(304)265-7608,rc0671
Wilfred Petrie,18,AB+,ngo0064,,(703)424-4977,rc0672
Caridad Judge,23,O+,,hosp0111,(612)573-8781,rc0673
Zachary Hollenbeck,51,A+,ngo0071,,(415)933-2112,rc0674
Noah Glass,41,O+,,hosp0168,(518)366-2079,rc0675
Marta Batiste,26,A+,,hosp0072,(702)376-1553,rc0676
Sally Maple,37,A-,ngo0048,,(781)380-2401,rc0677
Elyse Norris,96,O-,ngo0127,,(321)989-2287,rc0678
Lucila Collier,26,A+,ngo0008,,(228)618-3171,rc0679
Junior Bertrand,87,AB-,ngo0030,,(740)162-6401,rc0680
Dane Mesa,42,B-,,hosp0072,(361)919-1645,rc0681
Rocio Key,68,O-,ngo0089,,(601)766-1274,rc0682
Wm Sigmon,30,B-,,hosp0201,(909)466-1440,rc0683
Troy Leung,73,O-,ngo0063,,(707)490-3867,rc0684
Harriette Davenport,76,AB+,,hosp0119,(714)271-3632,rc0685
Roland Levi,29,A+,,hosp0086,(360)457-3262,rc0686
Emily Lam,96,B+,,hosp0038,(708)636-8880,rc0687
Kerri Sprague,74,O-,ngo0032,,(557)171-1521,rc0688
August Loftin,11,B+,ngo0018,,(928)621-6907,rc0689
Emile Muncy,46,O+,ngo0132,,(260)551-5371,rc0690
Bennie Sisson,14,B+,,hosp0202,(386)726-1690,rc0691
Lucius Gomez,20,B+,ngo0061,,(313)553-2493,rc0692
Adolfo Hastings,11,B-,,hosp0154,(281)422-6158,rc0693
Jocelyn Melvin,68,O+,ngo0054,,(606)474-3900,rc0694
Rosetta Gaddy,75,AB+,,hosp0120,(907)978-2418,rc0695
Gillian Serrano,19,A+,ngo0108,,(703)759-1554,rc0696
Mirna Orosco,6,B-,ngo0061,,(516)788-2792,rc0697
Merlin Thigpen,89,O+,,hosp0161,(559)517-5321,rc0698
Edgar Pomeroy,17,B+,,hosp0211,(234)461-4830,rc0699
Preston Grimm,27,B-,ngo0092,,(775)472-8612,rc0700
Rene Dempsey,89,AB+,,hosp0096,(313)164-1488,rc0701
Reina Ashmore,32,A+,,hosp0070,(903)361-9412,rc0702
Verda Flannery,24,O+,ngo0107,,(713)954-8189,rc0703
Pam Putnam,25,B-,ngo0059,,(207)817-5127,rc0704
Tommie Salas,1,AB+,,hosp0180,(984)470-4846,rc0705
Cristy Dow,51,AB+,ngo0069,,(859)616-9811,rc0706
Arlen Kovach,12,B-,ngo0018,,(623)265-9049,rc0707
Edward Avalos,34,A+,ngo0108,,(401)836-5033,rc0708
Shawna Coffin,87,AB+,,hosp0065,(651)635-6278,rc0709
Mauro Heinrich,20,AB-,,hosp0129,(701)414-3652,rc0710
Dean Sisk,1,AB+,,hosp0051,(984)894-3345,rc0711
Val Richie,24,O+,ngo0002,,(484)866-6445,rc0712
Marianne Cates,27,B+,ngo0130,,(646)821-2862,rc0713
Terri Keefe,86,AB-,,hosp0107,(445)630-1165,rc0714
Olive Mcreynolds,5,B-,,hosp0038,(857)893-3319,rc0715
Marco Munson,64,AB-,ngo0076,,(216)835-5905,rc0716
Joanne Machado,31,O-,,hosp0039,(631)480-2867,rc0717
Alfreda Babin,14,A+,,hosp0172,(706)633-6875,rc0718
Erick Rico,55,B+,ngo0110,,(323)544-9841,rc0719
Anthony Starnes,59,O+,,hosp0027,(816)430-7775,rc0720
Nicolas Furr,6,O-,ngo0014,,(786)703-9985,rc0721
Minnie Giordano,51,O-,ngo0002,,(405)641-7638,rc0722
Duncan Giles,16,O+,,hosp0058,(464)564-6453,rc0723
Jan Hatch,20,O+,ngo0131,,(239)931-6841,rc0724
Anastasia Bowden,82,B+,ngo0052,,(804)924-1674,rc0725
Dewayne Miley,72,A+,,hosp0114,(813)943-6752,rc0726
Shelby Rudolph,22,B+,ngo0040,,(267)836-1207,rc0727
Val Putnam,73,O+,ngo0081,,(903)575-2370,rc0728
Adriana Merrick,60,AB+,,hosp0093,(209)650-5516,rc0729
Ramiro Martins,21,O-,,hosp0180,(785)350-8790,rc0730
Jarrod Gordon,59,A-,,hosp0027,(513)616-4746,rc0731
Cecil Wertz,68,AB+,,hosp0113,(701)369-2559,rc0732
Danial York,60,O-,,hosp0150,(916)652-2949,rc0733
Noah Battle,86,A+,ngo0016,,(415)728-6454,rc0734
Tori Griffis,84,O+,ngo0043,,(765)771-9585,rc0735
Susanna Middleton,31,AB-,,hosp0189,(907)995-1616,rc0736
Latonya Randle,86,B-,ngo0087,,(970)132-5344,rc0737
Marty Benge,46,O+,ngo0099,,(207)914-9970,rc0738
Latricia Fitch,11,B-,,hosp0186,(781)751-3847,rc0739
Bennie Rider,81,A+,ngo0122,,(281)647-4598,rc0740
Mariam Morrissey,64,AB-,,hosp0081,(319)602-6430,rc0741
Terry Nava,98,A+,,hosp0079,(754)807-2143,rc0742
Alva Patterson,50,AB-,,hosp0092,(551)708-3836,rc0743
Douglass Lin,37,O+,,hosp0147,(843)846-3198,rc0744
Emmitt Alvarez,42,O-,,hosp0129,(503)907-9655,rc0745
Cordell Ault,47,O-,,hosp0192,(564)695-2444,rc0746
Dora Glass,14,B-,,hosp0012,(405)660-5536,rc0747
Graciela Chung,75,A-,ngo0042,,(470)927-3543,rc0748
Vilma Rudd,51,B+,,hosp0173,(509)204-7587,rc0749
Erick Thornburg,3,AB+,,hosp0046,(406)162-7897,rc0750
Otha Maher,86,B+,ngo0112,,(336)933-5561,rc0751
Denise Page,1,O+,ngo0038,,(912)175-7378,rc0752
Von Stackhouse,60,B+,,hosp0044,(501)864-4190,rc0753
Adela Mcfadden,47,A-,ngo0013,,(712)154-8226,rc0754
Tamra Kellogg,54,AB+,,hosp0040,(417)507-9276,rc0755
Aura Mcreynolds,86,AB+,,hosp0144,(856)164-2145,rc0756
Cortney Gardner,43,O+,ngo0060,,(406)362-9605,rc0757
Rosella Lowry,55,A+,,hosp0018,(509)665-6739,rc0758
Rory Foote,62,AB+,ngo0009,,(843)935-4340,rc0759
Harlan Ryan,12,A+,ngo0012,,(570)255-5844,rc0760
Sergio Stubbs,78,O-,,hosp0128,(318)228-7179,rc0761
Brent Cooke,28,O-,ngo0090,,(956)520-6447,rc0762
Shawn Nowell,22,A+,,hosp0181,(304)161-4757,rc0763
Marta Boyer,72,B+,ngo0038,,(865)650-8526,rc0764
Chong Milton,27,O+,,hosp0155,(718)319-9177,rc0765
Alex Zhang,97,B+,,hosp0098,(772)995-6994,rc0766
Timmy Middleton,10,B-,,hosp0051,(215)640-4736,rc0767
Jenna Heath,32,B+,ngo0064,,(217)345-1737,rc0768
Dollie Corey,36,AB+,ngo0060,,(907)438-6187,rc0769
Isreal Stoddard,68,O+,,hosp0031,(267)745-6561,rc0770
Howard Staples,32,O+,ngo0030,,(702)573-4704,rc0771
Zelma Mays,97,A+,ngo0017,,(878)871-8272,rc0772
Burl Mccreary,45,AB-,ngo0022,,(802)584-6016,rc0773
Cecil Craig,64,O-,,hosp0109,(570)920-4390,rc0774
Ola Lindberg,95,O+,,hosp0163,(405)736-9136,rc0775
Juliet Mouton,55,A-,,hosp0020,(425)355-1638,rc0776
George Towle,53,O-,,hosp0202,(208)213-3193,rc0777
Deidre Nowlin,61,AB-,,hosp0154,(901)856-8932,rc0778
Chadwick Vaughan,47,O+,ngo0130,,(712)393-4493,rc0779
Paris Billups,76,AB-,ngo0083,,(508)120-5558,rc0780
Tomas Passmore,16,A+,ngo0093,,(252)411-2578,rc0781
Ivy Geary,40,B+,ngo0077,,(314)418-5032,rc0782
Tyson Peak,32,AB-,ngo0072,,(561)441-4765,rc0783
Angeline Fontaine,89,A+,,hosp0108,(917)733-2606,rc0784
Shameka Mccue,33,AB+,ngo0109,,(503)786-8565,rc0785
Susan Dobbs,28,A+,,hosp0207,(339)128-5111,rc0786
Salvador Bean,70,B+,,hosp0176,(207)253-2643,rc0787
Tosha Quinn,52,O-,,hosp0161,(662)502-8515,rc0788
Eusebio Crockett,52,B+,,hosp0175,(818)181-2858,rc0789
Loren Rayburn,87,A-,ngo0043,,(217)962-1636,rc0790
Trenton Chavarria,60,A+,,hosp0006,(205)178-3093,rc0791
Armand Dyson,52,AB+,,hosp0158,(561)605-9824,rc0792
Hilario Place,62,O-,ngo0039,,(313)607-4785,rc0793
Clay Deyoung,86,AB-,,hosp0044,(337)169-9987,rc0794
Emma Mcdonnell,62,B-,ngo0010,,(717)247-9358,rc0795
Kerri Brill,82,A+,ngo0106,,(414)737-8298,rc0796
Clinton Knox,95,O+,,hosp0165,(765)903-6407,rc0797
Ellie Dubois,90,A-,,hosp0179,(856)297-1718,rc0798
Charmaine Stillwell,60,A-,,hosp0156,(252)881-3955,rc0799
Emerson Laws,32,AB+,ngo0067,,(219)660-2258,rc0800
Buck Picard,73,O-,,hosp0188,(540)559-2794,rc0801
Nikki Espinal,29,B-,ngo0015,,(540)960-2281,rc0802
Clayton Gibbs,31,O+,,hosp0187,(254)143-7044,rc0803
Misti Stricklin,61,B+,,hosp0015,(870)343-6568,rc0804
Mitzi Olvera,92,A-,ngo0008,,(832)696-9721,rc0805
Lauretta Spriggs,87,AB+,,hosp0164,(802)412-9759,rc0806
Lane Raney,52,B+,,hosp0058,(304)747-6485,rc0807
Lilia Garland,41,A+,ngo0005,,(304)362-9934,rc0808
Sherri Moeller,88,AB-,,hosp0042,(865)267-3016,rc0809
Young Cano,9,AB-,,hosp0051,(475)836-1865,rc0810
Owen Arsenault,81,O-,ngo0033,,(515)656-8433,rc0811
Ariel Speight,60,O-,ngo0101,,(865)509-3976,rc0812
Carmella Branch,48,AB-,,hosp0019,(470)414-3319,rc0813
Bob Dexter,92,A-,ngo0099,,(701)800-2965,rc0814
Rhett Novak,54,A+,,hosp0063,(972)671-5001,rc0815
Tracey Yoo,89,B-,ngo0068,,(515)158-1958,rc0816
Miquel Delagarza,90,A+,ngo0105,,(712)667-7732,rc0817
Jeannie Turnbull,64,O+,ngo0124,,(662)188-6911,rc0818
Darrel Layne,28,A+,,hosp0129,(813)381-9316,rc0819
